,District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
148,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-28
149,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-29
150,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-30
151,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-31
152,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-06-01
153,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-02
154,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-03
155,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-04
156,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-05
157,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-06
158,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-07
159,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-06-08
160,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-09
161,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-10
162,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-11
163,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-12
164,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-13
165,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-06-14
166,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-06-15
167,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-16
168,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-17
169,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-18
170,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-19
171,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-20
172,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-21
173,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-06-22
174,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-23
175,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-24
176,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-25
177,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-26
178,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-27
179,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-28
180,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-06-29
181,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-06-30
182,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-01
183,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-02
184,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-03
185,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-04
186,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-05
187,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-07-06
188,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-07
189,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-08
190,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-09
191,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-10
192,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-07-11
193,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-07-12
194,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-07-13
